linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
0,0,0
-3.94784176,0,0
-3.947763677,-0.024829687,0
-3.947529431,-0.049658393,0
-3.947139031,-0.074485134,0
-3.946592493,-0.099308928,0
-3.945889837,-0.124128794,0
-3.945031093,-0.14894375,0
-3.944016294,-0.173752814,0
-3.94284548,-0.198555005,0
-3.941518697,-0.223349342,0
-3.940035998,-0.248134843,0
-3.938397442,-0.272910529,0
-3.936603093,-0.297675419,0
-3.934653022,-0.322428534,0
-3.932547307,-0.347168895,0
-3.930286031,-0.371895523,0
-3.927869283,-0.396607439,0
-3.925297159,-0.421303666,0
-3.92256976,-0.445983228,0
-3.919687195,-0.470645148,0
-3.916649578,-0.495288451,0
-3.913457028,-0.519912161,0
-3.910109672,-0.544515305,0
-3.906607643,-0.569096909,0
-3.902951078,-0.593656001,0
-3.899140123,-0.61819161,0
-3.895174928,-0.642702765,0
-3.891055651,-0.667188496,0
-3.886782453,-0.691647835,0
-3.882355505,-0.716079814,0
-3.877774981,-0.740483467,0
-3.873041062,-0.764857828,0
-3.868153936,-0.789201934,0
-3.863113796,-0.813514821,0
-3.857920842,-0.837795527,0
-3.852575278,-0.862043093,0
-3.847077316,-0.886256558,0
-3.841427175,-0.910434965,0
-3.835625076,-0.934577358,0
-3.829671251,-0.958682781,0
-3.823565934,-0.982750282,0
-3.817309366,-1.006778907,0
-3.810901796,-1.030767707,0
-3.804343477,-1.054715733,0
-3.797634667,-1.078622037,0
-3.790775634,-1.102485673,0
-3.783766647,-1.126305698,0
-3.776607985,-1.150081169,0
-3.76929993,-1.173811146,0
-3.761842771,-1.19749469,0
-3.754236804,-1.221130864,0
-3.746482329,-1.244718734,0
-3.738579653,-1.268257366,0
-3.730529088,-1.291745829,0
-3.722330954,-1.315183194,0
-3.713985574,-1.338568533,0
-3.705493279,-1.361900923,0
-3.696854404,-1.385179439,0
-3.688069292,-1.408403161,0
-3.679138289,-1.431571171,0
-3.670061749,-1.454682551,0
-3.660840031,-1.477736388,0
-3.6514735,-1.50073177,0
-3.641962526,-1.523667786,0
-3.632307486,-1.546543531,0
-3.622508761,-1.569358098,0
-3.61256674,-1.592110585,0
-3.602481815,-1.614800093,0
-3.592254385,-1.637425724,0
-3.581884855,-1.659986582,0
-3.571373635,-1.682481775,0
-3.560721141,-1.704910415,0
-3.549927794,-1.727271612,0
-3.538994022,-1.749564483,0
-3.527920256,-1.771788146,0
-3.516706935,-1.793941721,0
-3.505354502,-1.816024333,0
-3.493863407,-1.838035108,0
-3.482234104,-1.859973175,0
-3.470467053,-1.881837666,0
-3.458562719,-1.903627717,0
-3.446521573,-1.925342466,0
-3.434344093,-1.946981052,0
-3.422030758,-1.968542622,0
-3.409582058,-1.990026321,0
-3.396998483,-2.0114313,0
-3.384280532,-2.032756712,0
-3.371428707,-2.054001713,0
-3.358443518,-2.075165464,0
-3.345325478,-2.096247126,0
-3.332075105,-2.117245867,0
-3.318692924,-2.138160855,0
-3.305179465,-2.158991263,0
-3.291535261,-2.179736266,0
-3.277760853,-2.200395046,0
-3.263856785,-2.220966783,0
-3.249823608,-2.241450665,0
-3.235661876,-2.261845881,0
-3.22137215,-2.282151624,0
-3.206954995,-2.302367091,0
-3.192410982,-2.322491483,0
-3.177740685,-2.342524003,0
-3.162944685,-2.362463859,0
-3.148023567,-2.382310263,0
-3.132977922,-2.402062428,0
-3.117808344,-2.421719574,0
-3.102515434,-2.441280923,0
-3.087099797,-2.460745702,0
